idsubsls,OPEN,DRAFT,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT,APPROVED BY Pengawas,REJECTED BY Pengawas
1708010002000200,135,1,0,0,49,2
1708020009000400,118,0,0,0,29,0
1708010004000100,78,8,2,0,34,1
1708020010000200,97,20,5,0,0,0
1708020010000300,8,2,0,0,90,16
1708010005000100,16,4,10,0,82,1
1708020001000200,3,4,4,0,95,1
1708020009000600,18,2,5,1,79,0
1708010005000200,42,6,12,0,24,0
1708010002000600,81,0,0,0,0,0
1708020002000200,72,0,0,0,0,0
1708010005000400,65,0,0,0,0,0
1708020008000500,53,0,0,0,12,0
1708020010000100,64,0,0,0,0,0
1708020001000500,58,3,1,0,0,0
1708020001000100,15,20,1,0,24,1
1708010005000300,58,2,0,0,0,0
1708020016000100,37,0,0,0,23,0
1708010003000100,0,37,0,0,20,2
1708020008000600,6,22,11,0,19,0
1708020001000300,0,0,6,0,47,2
1708020001000400,1,4,4,0,33,13
1708020016000300,42,0,0,0,11,0
1708020008000100,0,6,0,0,31,14
1708010002000500,25,0,0,0,23,0
1708010003000400,21,3,0,0,24,0
1708010002000700,3,0,0,0,44,0
1708020012000200,45,0,0,0,2,0
1708010004000200,44,0,2,0,0,0
1708010002000800,44,0,0,0,1,0
1708020008000200,2,7,10,0,25,1
1708020012000100,11,1,0,0,24,7
1708020008000400,28,0,0,0,12,0
1708010003000500,13,2,0,0,21,0
1708020008000300,7,21,0,0,8,0
1708010003000300,16,8,0,0,7,1
1708010003000200,1,14,0,0,14,0
1708020009000700,27,0,0,0,2,0
1708010004001200,19,0,0,0,0,0
1708010004001300,17,0,0,0,0,0
1708020009000800,9,0,0,0,0,0
1708010004001000,2,2,3,0,0,0
1708020016000200,7,0,0,0,0,0
1708010004001100,0,0,2,0,0,0
1708020009100100,2,0,0,0,0,0
1708010002100100,1,0,0,0,0,0
1708010004100100,0,0,1,0,0,0
1708020001200100,1,0,0,0,0,0
1708020008100100,0,0,0,0,1,0
1708020010200100,0,0,1,0,0,0
1708020006000300,154,40,3,1,0,0
1708020009000100,52,25,71,0,13,2
1708020006000200,28,24,90,0,6,7
1708040002000100,74,14,47,0,12,6
1708020006000400,66,17,57,0,1,3
1708020003000100,63,19,45,0,5,5
1708020003000200,3,8,58,0,57,0
1708020002000100,117,1,0,0,0,0
1708020006000100,8,18,5,0,21,52
1708020014000100,1,2,21,0,19,55
1708020009000200,82,1,11,0,0,1
1708020014000600,81,0,0,0,0,0
1708020011000100,2,0,0,0,18,57
1708020009000300,75,1,0,0,0,0
1708020015000100,30,0,1,0,12,33
1708020011000400,75,0,0,0,0,0
1708020011000200,12,0,46,0,10,5
1708020014000300,68,0,0,0,0,0
1708020007000100,65,0,0,0,0,0
1708020009000500,64,0,0,0,0,0
1708040002000200,64,0,0,0,0,0
1708020017000100,63,0,0,0,0,0
1708020019000200,5,8,49,0,0,0
1708020015000500,61,0,0,0,0,0
1708020007000200,57,0,0,0,0,0
1708020011000300,25,0,9,0,15,7
1708020019000100,50,4,0,0,0,0
1708020014000200,23,0,30,0,0,0
1708020015000400,50,0,0,0,0,0
1708020015000200,19,7,9,0,2,8
1708020014000500,43,0,0,0,0,0
1708020006000500,39,0,0,0,0,0
1708020018000100,36,0,0,0,0,0
1708020015000300,34,1,0,0,0,0
1708020017000200,33,0,0,0,0,0
1708020017000400,24,0,0,0,0,0
1708040002200200,21,1,0,0,0,1
1708020017000300,22,0,0,0,0,0
1708020002000300,19,0,0,0,0,0
1708020017000500,18,0,0,0,0,0
1708020018000300,9,0,0,0,0,0
1708020018000200,5,0,0,0,0,0
1708020019000300,0,1,0,0,2,0
1708020002200100,2,0,0,0,0,0
1708020011200200,2,0,0,0,0,0
1708020015000600,2,0,0,0,0,0
1708020011100100,1,0,0,0,0,0
1708040002100100,0,0,0,0,1,0
1708050019000400,29,7,22,0,250,19
1708050007000400,98,5,84,0,1,0
1708040005000400,125,15,4,0,2,1
1708040006000200,13,10,97,0,9,0
1708040010000100,0,22,3,0,87,13
1708040010000200,36,40,31,0,0,0
1708050004000300,94,2,11,0,0,0
1708050004000200,37,5,62,0,0,0
1708040005000300,92,1,9,0,0,0
1708050004000100,14,6,49,0,26,2
1708040006000400,95,0,1,0,0,0
1708040006000600,7,8,70,1,2,0
1708040005000200,25,6,39,0,7,10
1708050009001100,78,3,6,0,0,0
1708040006000700,0,2,1,0,78,2
1708040013000100,83,0,0,0,0,0
1708040010000300,79,1,0,0,0,0
1708050007000100,12,0,14,0,32,20
1708040006000100,4,0,54,0,17,2
1708040007000100,76,0,0,0,0,0
1708040007000200,75,0,0,0,0,0
1708050003000400,75,0,0,0,0,0
1708040006000500,74,0,0,0,0,0
1708040005000500,60,0,0,0,0,0
1708040006000300,0,0,0,0,57,0
1708040006200200,0,0,0,0,52,0
1708050019000700,19,7,11,0,0,0
1708040005100100,1,0,0,0,0,0
1708040006100100,1,0,0,0,0,0
1708040007100100,1,0,0,0,0,0
1708040007100200,1,0,0,0,0,0
1708040010200100,1,0,0,0,0,0
1708050009000300,103,40,27,0,57,6
1708060004000300,172,4,0,1,27,0
1708060007000200,42,15,18,0,65,0
1708050008000200,45,8,0,0,78,0
1708050008000300,56,14,0,0,51,4
1708060005000300,22,12,0,0,86,0
1708060012000400,39,2,10,0,64,0
1708060005000200,9,4,0,0,98,0
1708060008000400,24,13,8,0,61,2
1708060005000400,96,0,0,0,11,0
1708060004000600,17,8,0,0,75,1
1708060012000200,95,0,0,0,0,0
1708050008000401,90,0,0,0,0,0
1708060008000100,90,0,0,0,0,0
1708060007000500,85,0,0,0,4,0
1708060012000100,2,3,0,0,83,1
1708060009000200,83,0,0,0,0,0
1708060008000200,1,4,0,0,76,0
1708060007000400,67,0,0,0,9,0
1708060012000300,68,0,0,0,0,0
1708050005000602,64,0,0,0,0,0
1708050009000500,1,5,0,0,55,2
1708060008000300,59,0,0,0,0,0
1708060004000800,24,1,0,0,28,0
1708050008000402,50,0,0,0,0,0
1708060007000300,0,0,0,0,50,0
1708060007000100,0,4,1,0,38,0
1708060004000700,3,5,0,0,33,1
1708060007100100,7,0,0,0,6,0
1708060008200100,1,0,0,0,0,0
1708060012200100,1,0,0,0,0,0
1708050014000400,94,11,57,0,91,0
1708050021001700,33,37,1,0,182,0
1708050011000200,188,0,0,0,0,0
1708050005000700,170,0,0,0,0,0
1708050015000200,156,0,0,0,0,0
1708050007000200,44,2,26,0,73,8
1708050007000300,9,1,2,0,138,0
1708050021001400,69,10,5,0,61,0
1708050021001501,69,0,0,0,60,0
1708050011001200,1,24,18,0,70,0
1708050021001200,111,0,1,0,0,0
1708050011000600,18,20,4,0,63,1
1708050022000200,106,0,0,0,0,0
1708050009000900,42,0,13,1,36,0
1708050005001400,89,0,0,0,0,0
1708050021001300,47,28,1,0,8,0
1708050005000900,67,0,0,0,16,0
1708050019000500,29,0,0,0,45,0
1708050021001000,70,0,0,0,2,0
1708060005000100,28,9,1,0,34,0
1708050019000300,15,2,3,0,45,6
1708050009000102,40,0,0,0,19,0
1708050021000500,47,0,0,0,1,0
1708050014200100,1,0,0,0,0,0
1708060013000300,109,1,0,0,29,0
1708060013000100,26,0,17,0,68,4
1708060004000100,67,5,0,0,29,11
1708060013000200,104,0,0,0,0,0
1708060010000100,3,2,0,0,95,3
1708060003000500,68,1,0,0,29,1
1708060006000400,89,0,0,0,7,1
1708060006000300,72,7,1,0,13,2
1708060015000100,1,0,1,0,86,5
1708060004000200,30,16,3,0,38,3
1708060003000100,69,0,0,0,18,0
1708060009000300,82,0,0,0,0,0
1708060010000200,18,10,8,0,45,1
1708060011000100,5,0,1,0,70,4
1708060010000300,76,0,0,0,1,0
1708060015000600,71,1,0,0,5,0
1708060011000200,66,1,0,0,6,0
1708060003000200,39,0,0,0,30,2
1708060010000400,66,0,0,0,5,0
1708060004000400,64,0,0,0,6,0
1708060009000100,69,0,0,0,0,0
1708060006000200,26,1,1,0,33,7
1708060004000900,0,0,0,0,65,0
1708060004001000,62,0,0,0,1,0
1708060002000400,61,0,0,1,0,0
1708060006000100,60,0,0,0,0,0
1708060003000600,57,0,0,0,0,0
1708060003000300,16,1,0,0,32,2
1708060015000500,49,0,0,0,2,0
1708060002000300,48,0,0,0,0,2
1708060003000400,46,0,0,0,2,0
1708060015000200,48,0,0,0,0,0
1708060011000300,36,0,0,0,10,0
1708060015000400,36,0,0,0,0,0
1708060004000500,33,0,0,0,2,0
1708060004100100,0,0,0,0,7,1
