idsubsls,OPEN,DRAFT,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT,APPROVED BY Pengawas,REJECTED BY Pengawas
1708010002000200,151,0,14,0,13,0
1708020009000400,147,0,0,0,0,0
1708010004000100,122,0,0,0,0,0
1708020010000200,118,0,0,0,0,0
1708010005000100,54,9,42,0,2,0
1708020010000300,78,0,26,0,0,0
1708020009000600,92,1,0,1,0,0
1708020001000200,83,0,0,0,2,1
1708010002000600,81,0,0,0,0,0
1708010005000200,78,1,0,0,0,0
1708020002000200,72,0,0,0,0,0
1708010005000400,65,0,0,0,0,0
1708020008000500,65,0,0,0,0,0
1708020010000100,64,0,0,0,0,0
1708020001000500,62,0,0,0,0,0
1708010005000300,58,2,0,0,0,0
1708020001000100,56,0,0,0,1,3
1708020016000100,60,0,0,0,0,0
1708010003000100,53,0,2,0,1,1
1708020001000400,1,2,1,0,10,41
1708020001000300,20,14,17,0,2,0
1708020016000300,53,0,0,0,0,0
1708020008000100,2,7,26,0,16,0
1708010003000400,47,0,0,0,0,0
1708020012000200,47,0,0,0,0,0
1708010002000500,46,0,0,0,0,0
1708010004000200,46,0,0,0,0,0
1708010002000800,44,0,0,0,1,0
1708020008000200,5,23,14,0,0,0
1708020008000600,41,0,0,0,0,0
1708020012000100,26,0,10,0,0,5
1708020008000400,40,0,0,0,0,0
1708010002000700,39,0,0,0,0,0
1708020008000300,8,21,6,0,1,0
1708010003000500,33,1,0,0,0,0
1708010003000300,31,0,0,0,0,0
1708020009000700,29,0,0,0,0,0
1708010003000200,21,0,6,0,1,0
1708010004001200,19,0,0,0,0,0
1708010004001300,17,0,0,0,0,0
1708020009000800,9,0,0,0,0,0
1708010004001000,7,0,0,0,0,0
1708020016000200,7,0,0,0,0,0
1708010004001100,2,0,0,0,0,0
1708020009100100,2,0,0,0,0,0
1708010002100100,1,0,0,0,0,0
1708010004100100,1,0,0,0,0,0
1708020001200100,1,0,0,0,0,0
1708020008100100,1,0,0,0,0,0
1708020010200100,1,0,0,0,0,0
1708020006000300,190,0,0,0,0,0
1708020006000200,92,30,27,0,0,0
1708020009000100,93,26,20,0,0,0
1708040002000100,94,28,17,0,0,0
1708020006000400,123,0,0,0,0,0
1708020002000100,118,0,0,0,0,0
1708020003000100,117,0,0,0,0,0
1708020003000200,20,7,77,0,3,1
1708020006000100,17,41,39,0,5,1
1708020009000200,91,0,1,0,0,0
1708020014000600,81,0,0,0,0,0
1708020014000100,44,10,25,0,0,0
1708020011000100,11,2,64,0,0,0
1708020009000300,76,0,0,0,0,0
1708020011000400,75,0,0,0,0,0
1708020014000300,68,0,0,0,0,0
1708020015000100,47,1,19,0,0,0
1708020007000100,65,0,0,0,0,0
1708020009000500,64,0,0,0,0,0
1708040002000200,64,0,0,0,0,0
1708020017000100,63,0,0,0,0,0
1708020015000500,61,0,0,0,0,0
1708020011000200,55,1,4,0,0,0
1708020007000200,57,0,0,0,0,0
1708020019000100,50,4,0,0,0,0
1708020011000300,53,0,0,0,0,0
1708020015000400,50,0,0,0,0,0
1708020014000200,48,0,0,0,0,0
1708020014000500,43,0,0,0,0,0
1708020006000500,39,0,0,0,0,0
1708020019000200,39,0,0,0,0,0
1708020018000100,36,0,0,0,0,0
1708020015000300,34,1,0,0,0,0
1708020017000200,33,0,0,0,0,0
1708020015000200,21,4,3,0,0,0
1708020017000400,24,0,0,0,0,0
1708040002200200,22,1,0,0,0,0
1708020017000300,22,0,0,0,0,0
1708020002000300,19,0,0,0,0,0
1708020017000500,18,0,0,0,0,0
1708020018000300,9,0,0,0,0,0
1708020018000200,5,0,0,0,0,0
1708020019000300,0,0,1,0,2,0
1708020002200100,2,0,0,0,0,0
1708020011200200,2,0,0,0,0,0
1708020015000600,2,0,0,0,0,0
1708020011100100,1,0,0,0,0,0
1708040002100100,1,0,0,0,0,0
1708050019000400,258,15,31,0,11,3
1708050007000400,170,0,2,0,0,0
1708040005000400,139,1,3,0,2,1
1708040010000100,21,44,27,0,26,2
1708050004000300,106,1,0,0,0,0
1708040005000300,102,0,0,0,0,0
1708040010000200,95,0,3,0,0,0
1708040006000400,95,0,1,0,0,0
1708040006000200,88,0,2,0,0,0
1708050004000100,37,22,19,0,4,4
1708040013000100,83,0,0,0,0,0
1708050009001100,81,0,0,0,0,0
1708040005000200,71,2,7,0,0,0
1708040006000700,38,5,21,0,12,4
