idsubsls,OPEN,DRAFT,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT,APPROVED BY Pengawas,REJECTED BY Pengawas
1702032002000301,112,18,31,0,10,4
1702032001000300,123,1,18,0,19,4
1702032002000100,127,0,0,0,0,0
1702032001000400,120,1,1,0,0,2
1702032001000500,124,0,0,0,0,0
1702032002000500,119,0,0,0,0,0
1702032001000101,103,1,0,0,0,0
1702032002000201,91,0,0,1,0,0
1702032002000202,35,0,35,0,15,0
1702032001000102,59,15,8,0,0,0
1702032001100100,1,0,0,0,0,0
1702032001100200,1,0,0,0,0,0
1702032002100100,1,0,0,0,0,0
1702032002100200,1,0,0,0,0,0
1702032003000302,152,0,0,0,0,0
1702032003000200,151,0,0,0,0,0
1702032004000102,62,2,32,0,18,20
1702032004000202,67,19,27,0,18,3
1702032003000100,115,1,16,0,1,0
1702032003000301,128,0,0,0,0,0
1702032005000300,122,0,0,0,0,0
1702032003000400,99,0,0,0,0,0
1702032004000101,89,0,0,0,0,0
1702032002000400,30,24,19,0,6,8
1702032005000100,79,7,0,0,0,0
1702032004000201,20,1,25,0,32,0
1702032002000302,72,0,0,0,0,0
1702032005000200,72,0,0,0,0,0
1702032004000300,52,0,0,0,0,0
1702032003100100,2,0,0,0,0,0
1702032004100100,0,0,1,0,0,0
1702032004100200,1,0,0,0,0,0
1702032005100100,0,0,1,0,0,0
1702032005100200,0,0,1,0,0,0
1702047004000201,197,0,0,0,0,0
1702047007000300,188,0,0,0,0,0
1702047007000400,86,27,47,0,18,0
1702047006000401,104,1,69,0,2,0
1702047005000200,175,0,0,0,0,0
1702047006000200,173,0,0,0,0,0
1702047001000301,69,85,0,0,6,5
1702047006000101,157,0,0,0,1,0
1702047001000200,79,45,13,0,8,1
1702047006000402,137,3,0,0,0,0
1702047006000102,81,3,40,0,11,1
1702047009000100,121,0,0,0,0,0
1702047004000202,117,0,0,0,0,0
1702047001000100,116,0,0,0,0,0
1702047009000900,112,0,0,0,0,0
1702047001000302,111,0,0,0,0,0
1702047005000600,40,17,38,0,9,6
1702047009000200,59,0,23,0,4,4
1702047009000400,86,0,0,0,0,0
1702047006000103,80,0,0,0,3,0
1702047009000300,74,0,0,1,0,0
1702047009000700,71,0,0,0,0,0
1702047009000600,68,0,0,0,0,0
1702047009000500,60,0,0,1,0,0
1702047009000800,56,0,0,0,0,0
1702046006000100,102,3,50,0,0,1
1702046004000200,155,0,0,0,0,0
1702046004000101,153,0,0,0,0,0
1702046001000100,99,15,36,1,1,0
1702046007000200,107,0,45,0,0,0
1702046001000300,95,20,20,0,13,0
1702046003000800,136,0,0,0,0,0
1702046008000300,133,0,0,0,0,0
1702046002000102,112,11,3,0,0,0
1702046007000102,125,0,0,0,0,0
1702046006000201,77,0,40,0,0,1
1702046001000700,114,0,0,0,0,0
1702046003000200,83,17,10,1,0,0
1702046003000100,96,4,10,0,0,0
1702046002000200,108,0,0,0,0,0
1702046007000101,106,0,0,0,0,0
1702046001000200,90,3,1,0,0,0
1702046003000600,94,0,0,0,0,0
1702046002000101,49,7,23,0,7,2
1702046001000600,85,0,0,0,0,0
1702046001000401,83,0,0,0,0,0
1702046003000700,80,0,0,0,0,0
1702046006000202,67,0,0,0,0,0
1702046001000402,64,0,0,0,0,0
1702046001000404,55,0,0,0,0,0
1702046004000102,50,0,0,0,0,0
1702046007000300,37,0,0,0,0,0
1702046001000403,36,0,0,0,0,0
1702046001000500,28,0,0,0,0,0
1702046007100100,1,0,0,0,0,0
1702046011000100,158,10,31,0,7,0
1702046005000201,181,3,9,0,2,1
1702046011000300,130,22,23,0,8,0
1702046014000100,151,2,25,0,0,0
1702046005000101,160,1,0,0,0,0
1702046011000201,154,0,1,1,0,0
1702046009000101,146,0,0,0,0,0
1702046013000100,143,0,0,0,0,0
1702046008000100,137,0,0,0,0,0
1702046014000200,123,0,9,0,0,0
1702046008000202,131,0,0,0,0,0
1702046005000202,91,10,17,0,1,0
1702046008000201,111,0,0,0,0,0
1702046010000100,95,1,5,0,1,0
1702046010000200,95,0,0,1,0,0
1702046013000300,95,0,0,0,0,0
1702046009000202,46,0,43,0,4,0
1702046003000400,33,2,48,0,6,1
1702046011000202,89,0,0,1,0,0
1702046009000201,89,0,0,0,0,0
1702046009000102,86,0,0,0,0,0
1702046010000301,84,0,0,0,0,0
1702046005000102,74,3,3,0,0,0
1702046012000200,68,0,0,0,0,0
1702046003000300,43,5,9,0,7,0
1702046013000200,64,0,0,0,0,0
1702046003000500,63,0,0,0,0,0
1702046010000302,62,0,0,0,0,0
1702046008000400,24,8,26,0,2,0
1702046012000101,22,0,0,0,0,0
1702046012000102,17,0,0,0,0,0
1702046008100100,5,0,0,0,0,0
1702046014100100,1,0,0,0,0,0
1702047006000501,204,0,0,0,0,0
1702047008002200,182,0,0,0,0,0
1702047005001301,163,0,0,0,0,0
1702047004000301,43,9,76,1,29,2
1702047006000504,155,0,0,0,0,0
1702047006000502,133,19,0,0,0,0
1702047008002100,140,0,0,1,0,0
1702047006000503,140,0,0,0,0,0
1702047008001900,134,0,0,0,0,0
1702047005000400,129,0,0,1,0,0
1702047007000200,36,39,17,0,37,0
1702047007000900,129,0,0,0,0,0
1702047007000800,74,20,8,0,24,1
1702047005001100,123,0,0,0,0,0
1702047005000500,120,0,0,0,0,0
1702047005000700,120,0,0,0,0,0
1702047005001000,22,12,42,0,29,1
1702047006000505,52,0,15,0,27,9
1702047005000800,26,15,22,0,35,1
1702047005000300,96,0,0,0,0,0
1702047008001801,94,0,0,0,0,0
1702047008002001,93,0,0,0,0,0
1702047005001302,90,1,0,0,0,0
1702047004000302,83,1,2,0,0,0
1702047007000600,86,0,0,0,0,0
1702047008000101,2,1,40,0,26,4
1702047008001802,45,0,0,0,0,0
1702047008002002,37,0,0,0,0,0
1702047008000102,5,3,27,0,0,1
1702047008001803,20,0,0,0,0,0
1702047008000103,10,2,5,0,0,1
1702047008000104,11,1,3,0,0,0
1702047005001200,118,11,0,0,25,14
1702047004000101,163,1,0,0,0,0
1702047002000100,161,0,0,0,0,0
1702047003000301,141,1,0,0,0,0
1702047009001000,63,28,4,0,45,0
1702047002000200,139,0,0,0,0,0
1702047009001200,135,0,0,0,0,0
1702047006000302,56,12,16,0,46,3
1702047005000100,126,0,0,0,0,0
1702047007000100,117,0,0,0,0,0
1702047003000202,54,0,0,0,59,3
1702047003000302,25,19,13,0,54,2
1702047004000102,113,0,0,0,0,0
1702047003000201,112,0,0,0,0,0
1702047007000500,105,0,0,0,0,0
1702047003000101,35,0,2,0,47,13
1702047003000102,91,0,3,0,0,0
1702047009001101,87,0,0,0,0,0
1702047005000900,82,0,0,0,0,0
1702047007000700,74,0,0,0,0,0
1702047006000301,70,0,0,0,0,0
1702047009001102,69,0,0,0,0,0
1702020007000500,177,0,0,0,0,0
1702020007000100,98,1,13,0,52,0
1702020008000100,89,0,8,0,14,0
1702020007000600,73,0,11,0,19,0
1702020011000700,84,0,0,0,18,0
1702020011000900,100,0,0,0,0,0
1702020008000400,94,0,0,0,0,0
1702020009000200,84,0,3,0,0,0
1702020007000200,78,0,0,0,0,0
1702020007000400,73,0,0,0,0,0
1702020015000100,69,0,0,0,3,0
1702020008000200,71,0,0,0,0,0
1702020008000600,70,0,0,0,0,0
1702020009000400,69,0,0,0,0,0
1702020007000300,68,0,0,0,0,0
1702020009000100,28,0,4,0,34,1
1702020008000500,63,0,0,0,0,0
1702020008000300,57,0,0,0,0,0
1702020009000300,39,0,0,0,0,0
