idsubsls,OPEN,DRAFT,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT,APPROVED BY Pengawas,REJECTED BY Pengawas
1708010005000900,66,8,0,0,69,0
1708060001000200,19,21,1,0,96,0
1708060001000100,30,10,0,0,94,0
1708010001000200,1,0,0,0,115,1
1708060001000300,111,3,0,0,0,0
1708010004000500,8,0,21,0,52,29
1708010002000100,60,0,16,0,24,0
1708060002000200,6,14,6,0,67,1
1708010004000600,88,1,0,0,3,0
1708010005000500,69,7,1,0,13,0
1708060016000100,28,11,2,0,47,1
1708010002000300,85,0,0,0,1,0
1708060002000100,2,6,3,0,73,0
1708010007000300,28,13,10,0,32,0
1708010004000700,78,0,0,0,0,0
1708010007000200,65,1,0,0,7,0
1708010005000600,56,1,0,0,11,0
1708060016000200,59,6,0,0,1,0
1708010001000100,0,0,0,0,64,1
1708010008000100,0,4,22,0,29,5
1708010005000700,9,2,1,0,47,0
1708010007000100,24,7,1,0,27,0
1708060016000400,52,3,0,0,0,0
1708010006000300,31,2,6,0,14,0
1708010004000400,20,0,0,0,31,0
1708010005000800,2,0,0,0,47,0
1708060016000300,49,0,0,0,0,0
1708010006000400,9,2,0,0,37,0
1708010005001000,0,0,0,0,40,0
1708010006000700,2,1,0,0,37,0
1708010006000100,0,0,0,0,38,0
1708010006000600,32,3,0,0,3,0
1708010004000300,6,0,0,0,31,0
1708010002000400,32,0,0,0,0,0
1708010006000200,0,0,0,0,30,1
1708010008000500,0,3,0,0,19,0
1708010004000900,17,0,0,0,0,0
1708010004000800,13,0,0,0,0,0
1708010008000300,8,0,0,0,4,0
1708010005001300,5,1,1,0,4,0
1708010007000500,9,0,0,0,1,0
1708010008000200,2,0,0,0,8,0
1708010007000600,5,1,0,0,2,0
1708010005001400,5,0,0,0,2,0
1708010008000400,0,0,0,0,7,0
1708010007000400,5,0,0,0,1,0
1708010007000800,0,0,0,0,4,0
1708010006000800,0,1,0,0,2,0
1708010008000600,0,0,0,0,3,0
1708010005001100,0,0,0,0,2,0
1708040004000100,7,6,9,0,189,30
1708040011000200,147,2,0,0,33,12
1708040003000100,15,8,15,0,76,43
1708020004000100,30,7,0,0,111,2
1708040001000300,132,1,0,0,12,1
1708040004000400,110,16,2,0,10,5
1708040004000300,1,0,0,0,139,1
1708040014000100,3,6,1,0,87,39
1708040011000300,0,0,1,0,53,78
1708040011000100,97,11,0,0,10,3
1708040003000200,78,13,1,0,16,0
1708040014000200,40,14,0,0,41,3
1708020013000200,22,6,0,0,65,2
1708040014000400,86,0,0,0,0,0
1708040014000500,82,0,0,0,0,0
1708040004000200,2,12,0,0,35,30
1708020004000200,20,3,0,0,53,2
1708020013000100,65,1,0,0,12,0
1708040003000300,69,3,0,0,0,0
1708040001000200,9,1,11,0,50,0
1708020014000400,0,0,0,0,58,3
1708020005000100,10,1,11,0,36,2
1708020005000200,60,0,0,0,0,0
1708020013000300,60,0,0,0,0,0
1708020012000300,0,0,0,0,47,0
1708020013000400,46,0,0,0,0,0
1708020004000300,7,3,0,0,35,0
1708040014000300,44,0,0,0,0,0
1708020004000400,11,2,0,0,28,1
1708040001000100,30,7,0,0,3,0
1708020004000500,6,0,0,0,30,0
1708020005000300,35,1,0,0,0,0
1708020005000400,8,0,0,0,0,0
1708040003200200,4,0,0,0,0,0
1708040014200200,0,0,0,0,4,0
1708040004100100,3,0,0,0,0,0
1708020004200100,0,0,0,0,1,0
1708040001100100,0,0,0,0,1,0
1708040001100200,1,0,0,0,0,0
1708040003100100,1,0,0,0,0,0
1708040004100200,1,0,0,0,0,0
1708040011100100,0,0,0,0,1,0
1708040014100100,0,0,0,0,1,0
1708030002000100,29,25,113,0,43,0
1708050001000300,12,21,34,0,123,2
1708030003000100,37,1,133,0,13,0
1708030009000100,2,19,51,0,72,2
1708030008000100,1,1,31,0,79,1
1708030006000100,20,58,2,0,15,0
1708050001000101,72,8,10,0,0,0
1708030001000100,3,0,26,0,57,1
1708030001000400,2,0,38,0,47,0
1708030007000200,41,5,24,0,16,0
1708030006000200,51,0,8,0,16,1
1708030005000200,25,0,47,0,0,0
1708030013000300,0,28,43,0,0,0
1708030007000400,10,31,17,0,10,0
1708030004000100,0,1,34,0,32,0
1708030007000300,67,0,0,0,0,0
1708030007000100,55,5,2,0,3,0
1708030008000300,33,7,10,0,13,0
1708030013000100,56,1,6,0,0,0
1708050001000802,61,0,0,0,1,1
1708030012000300,3,0,57,0,2,0
1708030002000200,36,10,14,0,0,0
1708030005000100,3,1,46,1,8,0
1708030001000300,2,0,4,0,52,0
1708030011000400,55,0,2,0,0,0
1708030001000200,1,0,7,0,47,0
1708030003000200,39,0,14,0,0,0
1708030008000200,7,3,38,0,5,0
1708030004000200,0,0,50,0,1,0
1708030012000100,18,0,28,0,5,0
1708030011000200,43,0,3,0,0,0
1708030011000300,31,0,15,0,0,0
1708030012000400,0,0,37,0,9,0
1708030011000100,27,0,17,0,0,0
1708030004000300,0,0,31,0,11,0
1708030010000300,42,0,0,0,0,0
1708030001000500,3,0,9,0,28,1
1708030012000200,2,0,36,0,2,0
1708030009000200,3,3,28,0,5,0
1708030010000100,31,0,0,0,0,0
1708030006000300,26,1,0,0,3,0
1708030013000200,12,5,11,0,0,0
1708030005000300,11,0,6,0,0,0
1708030002000300,0,0,16,0,0,0
1708030010000400,15,0,0,0,0,0
1708030003000300,8,0,0,0,0,0
1708030010000200,8,0,0,0,0,0
1708030009000300,3,0,0,0,2,0
1708030002200100,0,0,0,0,1,0
1708030007200100,1,0,0,0,0,0
1708050021000200,8,5,0,0,314,23
1708050005000500,88,20,1,0,118,1
1708050021000900,40,12,47,0,63,28
1708050021000100,149,4,0,0,10,15
1708050010000500,94,3,0,0,31,25
1708040009000100,108,13,0,0,23,0
1708040012000100,0,0,0,0,127,0
1708050005000100,101,9,0,0,14,1
1708040008000300,40,0,3,0,47,34
1708040008000200,36,0,0,0,26,58
1708050010000700,102,8,0,0,5,3
1708050021001502,14,1,13,0,60,28
1708050005001300,11,11,0,0,90,0
1708040008000100,7,2,0,0,84,2
1708040009000200,51,1,0,0,42,0
1708040005000100,87,1,0,0,0,0
1708040006000500,13,1,9,0,60,3
