1708010002000200,137,0,2,0,43,5
1708020009000400,127,0,11,0,9,0
1708010004000100,78,8,4,0,31,1
1708020010000200,118,0,0,0,0,0
1708010005000100,22,10,75,0,3,1
1708020010000300,41,0,42,0,11,14
1708020009000600,47,2,8,1,45,1
1708020001000200,73,9,2,0,2,1
1708010002000600,81,0,0,0,0,0
1708010005000200,78,1,0,0,0,0
1708020002000200,72,0,0,0,0,0
1708010005000400,65,0,0,0,0,0
1708020008000500,54,0,9,0,2,0
1708020010000100,64,0,0,0,0,0
1708020001000500,61,1,0,0,0,0
1708010005000300,58,2,0,0,0,0
1708020001000100,56,0,0,0,1,3
1708020016000100,41,0,19,0,0,0
1708010003000100,0,41,4,0,12,2
1708020001000300,1,2,48,0,4,0
1708020001000400,1,2,19,0,12,21
1708020016000300,42,0,0,0,11,0
1708020008000100,0,6,28,0,17,0
1708010003000400,39,4,2,0,3,0
1708010002000700,9,0,30,0,7,0
1708020012000200,45,0,0,0,2,0
1708010002000500,46,0,0,0,0,0
1708010004000200,44,0,2,0,0,0
1708010002000800,44,0,0,0,1,0
1708020008000200,2,10,28,0,5,0
1708020012000100,12,0,4,0,21,6
1708020008000600,37,0,0,0,4,0
1708020008000400,28,0,0,0,12,0
1708010003000500,18,4,0,0,14,0
1708020008000300,7,21,0,0,8,0
1708010003000300,20,8,0,0,3,1
1708010003000200,1,14,6,0,8,0
1708020009000700,27,0,0,0,2,0
1708010004001200,19,0,0,0,0,0
1708010004001300,17,0,0,0,0,0
1708020009000800,9,0,0,0,0,0
1708010004001000,2,2,3,0,0,0
1708020016000200,7,0,0,0,0,0
1708010004001100,2,0,0,0,0,0
1708020009100100,2,0,0,0,0,0
1708010002100100,1,0,0,0,0,0
1708010004100100,1,0,0,0,0,0
1708020001200100,1,0,0,0,0,0
1708020008100100,0,0,1,0,0,0
1708020010200100,1,0,0,0,0,0
1708020006000300,190,0,0,1,0,0
1708020009000100,56,39,61,0,0,0
1708020006000200,39,30,1,0,3,82
1708040002000100,82,19,49,0,0,0
1708020006000400,89,5,39,0,0,0
1708020003000100,97,11,20,0,0,1
1708020003000200,8,9,80,0,3,22
1708020002000100,118,0,0,0,0,0
1708020006000100,8,16,68,0,12,0
1708020009000200,91,0,1,0,0,0
1708020014000100,26,1,57,0,0,0
1708020014000600,81,0,0,0,0,0
1708020011000100,2,0,2,0,7,66
1708020009000300,75,1,0,0,0,0
1708020011000400,75,0,0,0,0,0
1708020015000100,37,2,31,0,2,2
1708020011000200,22,1,41,0,3,1
1708020014000300,68,0,0,0,0,0
1708020007000100,65,0,0,0,0,0
1708020009000500,64,0,0,0,0,0
1708040002000200,64,0,0,0,0,0
1708020017000100,63,0,0,0,0,0
1708020015000500,61,0,0,0,0,0
1708020007000200,57,0,0,0,0,0
1708020019000100,50,4,0,0,0,0
1708020011000300,53,0,0,0,0,0
1708020015000400,50,0,0,0,0,0
1708020014000200,48,0,0,0,0,0
1708020014000500,43,0,0,0,0,0
1708020019000200,35,6,2,0,0,0
1708020006000500,39,0,0,0,0,0
1708020018000100,36,0,0,0,0,0
1708020015000300,34,1,0,0,0,0
1708020017000200,33,0,0,0,0,0
1708020015000200,21,4,3,0,0,0
1708020017000400,24,0,0,0,0,0
1708040002200200,21,1,0,0,0,1
1708020017000300,22,0,0,0,0,0
1708020002000300,19,0,0,0,0,0
1708020017000500,18,0,0,0,0,0
1708020018000300,9,0,0,0,0,0
1708020018000200,5,0,0,0,0,0
1708020019000300,0,0,1,0,2,0
1708020002200100,2,0,0,0,0,0
1708020011200200,2,0,0,0,0,0
1708020015000600,2,0,0,0,0,0
1708020011100100,1,0,0,0,0,0
1708040002100100,0,0,1,0,0,0
1708050019000400,147,10,128,0,40,1
1708050007000400,152,2,24,0,1,0
1708040005000400,139,1,3,0,2,1
1708040010000100,3,44,7,0,58,12
1708050004000300,100,2,5,0,0,0
1708040005000300,94,2,6,0,0,0
1708040006000200,65,2,33,0,0,0
1708040010000200,77,14,8,0,0,0
1708050004000100,14,5,71,0,6,1
1708040006000400,95,0,1,0,0,0
1708040005000200,46,2,39,0,0,0
1708050004000200,72,7,7,0,0,0
1708040006000700,28,10,22,0,22,1
1708040013000100,83,0,0,0,0,0
1708050009001100,81,0,0,0,0,0
1708040010000300,79,1,0,0,0,0
1708050007000100,16,2,51,0,9,0
1708040006000100,5,1,70,0,0,1
1708040006000600,43,5,29,0,0,0
1708040007000100,76,0,0,0,0,0
1708040007000200,75,0,0,0,0,0
1708050003000400,75,0,0,0,0,0
1708040006000500,74,0,0,0,0,0
1708040005000500,60,0,0,0,0,0
1708040006000300,0,1,1,0,49,6
1708040006200200,25,0,8,0,19,0
1708050019000700,26,0,0,0,0,0
