idsubsls,OPEN,DRAFT,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT,APPROVED BY Pengawas,REJECTED BY Pengawas
1708010005000900,66,8,0,0,69,0
1708060001000100,30,13,23,0,68,0
1708060001000200,47,30,21,0,35,0
1708010001000200,1,0,0,0,115,1
1708060001000300,112,2,0,0,0,0
1708010004000500,9,0,0,0,47,54
1708010002000100,80,0,0,0,15,0
1708060002000200,10,24,6,0,53,1
1708010004000600,88,1,0,0,3,0
1708010005000500,80,8,0,0,2,0
1708010002000300,85,0,0,0,1,0
1708060016000100,31,48,0,0,7,0
1708060002000100,2,9,0,0,73,0
1708010007000300,29,23,0,0,31,0
1708010004000700,78,0,0,0,0,0
1708010007000200,65,1,0,0,7,0
1708010005000600,63,1,0,0,4,0
1708060016000200,60,4,0,0,0,0
1708010001000100,5,0,0,0,57,1
1708010008000100,0,4,0,0,29,27
1708010005000700,12,17,3,0,27,0
1708010007000100,24,10,0,0,24,0
1708060016000400,52,3,0,0,0,0
1708010004000400,20,0,0,0,31,0
1708010005000800,2,0,0,0,47,0
1708010006000300,43,6,0,0,0,0
1708060016000300,49,0,0,0,0,0
1708010006000400,10,2,0,0,36,0
1708010005001000,1,2,0,0,37,0
1708010006000700,2,4,0,0,34,0
1708010006000100,0,0,0,0,38,0
1708010006000600,36,0,0,0,2,0
1708010004000300,7,0,0,0,30,0
1708010002000400,32,0,0,0,0,0
1708010006000200,0,0,2,0,24,5
1708010008000500,0,3,0,0,19,0
1708010004000900,17,0,0,0,0,0
1708010004000800,13,0,0,0,0,0
1708010008000300,8,0,0,0,4,0
1708010005001300,10,0,0,0,1,0
1708010007000500,9,0,0,0,1,0
1708010008000200,2,0,0,0,8,0
1708010007000600,5,1,0,0,2,0
1708010005001400,5,0,0,0,2,0
1708010008000400,0,0,0,0,7,0
1708010007000400,5,0,0,0,1,0
1708010007000800,0,0,0,0,4,0
1708010006000800,0,1,0,0,2,0
1708010008000600,0,0,0,0,3,0
1708010005001100,0,0,0,0,2,0
1708040004000100,7,14,1,0,189,30
1708040011000200,147,2,0,0,33,11
1708040003000100,16,24,1,0,72,43
1708020004000100,30,12,0,0,108,0
1708040001000300,132,0,0,0,12,0
1708040004000400,111,26,3,0,1,2
1708040004000300,1,0,0,0,139,1
1708040014000100,3,6,0,0,87,40
1708040011000300,0,23,14,0,31,64
1708040011000100,104,14,1,0,0,0
1708040003000200,80,11,2,0,14,0
