idsubsls,OPEN,DRAFT,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT,APPROVED BY Pengawas,REJECTED BY Pengawas
1708010005000900,66,8,0,0,69,0
1708060001000100,30,13,1,0,66,24
1708060001000200,49,54,3,0,3,22
1708010001000200,1,0,6,0,109,1
1708060001000300,112,2,0,0,0,0
1708010004000500,9,0,1,0,46,54
1708010002000100,80,0,0,0,15,0
1708060002000200,12,39,30,0,11,1
1708010004000600,88,1,1,0,2,0
1708010005000500,80,8,0,0,2,0
1708010002000300,85,0,0,0,1,0
1708060002000100,2,9,1,0,72,0
1708060016000100,43,34,1,0,6,0
1708010007000300,35,23,16,0,8,1
1708010004000700,78,0,0,0,0,0
1708010007000200,65,1,0,0,7,0
1708010005000600,63,1,1,0,3,0
1708010001000100,12,0,5,0,45,1
1708060016000200,60,3,0,0,0,0
1708010008000100,0,4,0,0,29,27
1708010005000700,12,26,14,0,7,0
1708010007000100,27,7,1,0,23,0
1708060016000400,52,3,0,0,0,0
1708010004000400,20,0,8,0,22,1
1708010005000800,2,0,17,0,30,0
1708060016000300,49,0,0,0,0,0
1708010006000300,47,1,0,0,0,0
1708010006000400,10,2,8,0,28,0
1708010005001000,1,2,3,0,34,0
1708010006000700,2,4,3,0,31,0
1708010006000100,0,0,13,0,25,0
1708010006000600,37,1,0,0,0,0
1708010004000300,7,0,1,0,25,4
1708010002000400,32,0,0,0,0,0
1708010006000200,0,0,1,0,23,7
1708010008000500,0,3,0,0,19,0
1708010004000900,17,0,0,0,0,0
1708010004000800,13,0,0,0,0,0
1708010008000300,8,0,0,0,4,0
1708010005001300,10,0,0,0,1,0
1708010007000500,9,0,0,0,1,0
1708010008000200,2,0,0,0,8,0
1708010007000600,5,1,0,0,2,0
1708010005001400,5,0,0,0,2,0
1708010008000400,0,0,0,0,7,0
1708010007000400,5,0,0,0,1,0
1708010007000800,0,0,2,0,2,0
1708010006000800,0,1,0,0,2,0
1708010008000600,0,0,0,0,3,0
1708010005001100,0,0,1,0,1,0
1708040004000100,7,14,1,0,189,30
1708040011000200,147,2,0,0,33,11
1708040003000100,17,23,1,0,72,43
1708020004000100,30,12,0,0,108,0
1708040001000300,132,0,10,0,2,0
1708040004000300,1,0,0,0,139,1
1708040004000400,121,12,3,0,1,2
1708040014000100,3,6,0,0,87,40
1708040011000300,0,31,7,0,29,63
1708040011000100,104,15,0,0,0,0
1708040003000200,84,5,1,0,14,0
1708040014000200,44,14,8,0,30,2
1708020013000200,35,15,22,0,23,0
1708040014000400,86,0,0,0,0,0
1708040014000500,82,0,0,0,0,0
1708040004000200,2,11,0,0,35,31
1708020004000200,20,3,4,0,44,7
1708020013000100,67,3,0,0,8,0
1708040003000300,69,2,0,0,0,0
1708040001000200,32,1,18,0,12,3
1708020014000400,0,0,0,0,58,3
1708020005000200,60,0,0,0,0,0
1708020013000300,60,0,0,0,0,0
1708020005000100,29,4,1,0,15,0
1708020012000300,0,0,0,0,47,0
1708020013000400,46,0,0,0,0,0
1708020004000300,7,3,0,0,35,0
1708040014000300,44,0,0,0,0,0
1708020004000400,11,2,0,0,28,1
1708040001000100,36,0,0,0,1,0
1708020004000500,6,0,0,0,30,0
1708020005000300,35,0,0,0,0,0
1708020005000400,8,0,0,0,0,0
1708040003200200,4,0,0,0,0,0
1708040014200200,0,0,0,0,4,0
1708040004100100,3,0,0,0,0,0
1708020004200100,0,0,0,0,1,0
1708040001100100,1,0,0,0,0,0
1708040001100200,1,0,0,0,0,0
1708040003100100,1,0,0,0,0,0
1708040004100200,1,0,0,0,0,0
1708040011100100,0,0,0,0,1,0
1708040014100100,0,0,0,0,1,0
1708030002000100,38,35,91,0,43,0
1708050001000300,15,24,95,0,58,0
1708030003000100,54,3,109,0,13,0
1708030009000100,3,32,34,0,72,2
1708030008000100,1,0,27,0,79,5
1708030001000400,6,0,27,0,49,5
1708030006000100,24,46,2,0,15,0
1708030007000200,51,18,0,0,16,0
1708050001000101,84,0,1,0,0,0
1708030001000100,20,0,41,0,20,0
1708030013000300,14,19,38,0,0,0
1708030006000200,52,0,1,0,16,1
1708030007000400,10,37,11,0,10,0
1708030005000200,40,0,27,0,0,0
1708030007000300,67,0,0,0,0,0
1708030004000100,0,1,31,0,32,2
1708030007000100,60,0,1,0,3,0
1708050001000802,61,0,1,0,1,0
1708030008000300,41,6,1,0,13,0
1708030002000200,40,16,4,0,0,0
1708030012000300,3,0,55,0,2,0
1708030013000100,60,0,0,0,0,0
1708030001000300,6,0,0,0,52,0
1708030011000400,57,0,0,0,0,0
1708030001000200,7,0,0,0,47,1
1708030005000100,4,0,42,1,8,0
1708030008000200,7,3,38,0,5,0
1708030004000200,2,0,47,0,1,0
1708030012000100,32,0,15,0,0,0
1708030003000200,46,0,0,0,0,0
1708030012000400,0,0,37,0,9,0
1708030011000200,44,0,1,0,0,0
1708030011000100,43,0,0,0,0,0
1708030010000300,42,0,0,0,0,0
1708030001000500,4,0,0,0,29,8
1708030004000300,1,0,29,0,11,0
1708030011000300,40,0,1,0,0,0
1708030012000200,4,0,34,0,2,0
1708030009000200,7,3,18,0,5,0
1708030010000100,31,0,0,0,0,0
1708030006000300,26,1,0,0,3,0
1708030013000200,18,0,0,0,0,0
1708030005000300,12,0,5,0,0,0
1708030010000400,15,0,0,0,0,0
1708030002000300,7,3,1,0,0,0
1708030003000300,8,0,0,0,0,0
1708030010000200,8,0,0,0,0,0
1708030009000300,3,0,0,0,2,0
1708030002200100,0,0,0,0,1,0
1708030007200100,1,0,0,0,0,0
1708050021000200,8,5,0,0,314,23
1708050005000500,88,21,5,0,109,1
1708050021000900,43,15,68,0,50,14
1708050021000100,149,4,0,0,10,14
1708050010000500,94,3,0,0,29,27
1708040009000100,132,7,0,0,2,0
1708040012000100,0,1,0,0,127,0
1708040008000300,50,0,1,0,42,30
1708040008000200,36,0,0,0,26,58
1708050021001502,14,1,29,0,50,22
1708050010000700,112,1,0,0,0,0
1708050005001300,12,12,0,0,88,0
1708050005000100,111,0,0,0,0,0
1708040008000100,7,2,0,0,85,1
1708040009000200,51,1,0,0,42,0
1708040005000100,87,0,0,0,0,0
1708040006000500,52,3,0,0,23,3
1708040009000300,25,8,0,0,25,23
1708040012000300,73,0,0,0,4,0
1708040012000200,14,12,4,0,30,2
1708040013000200,58,0,0,0,0,0
1708040007000300,53,0,0,0,0,0
1708040013000300,50,0,0,0,0,0
1708040013100200,2,0,0,0,0,0
1708040008200100,0,0,0,0,1,0
1708040009200100,1,0,0,0,0,0
1708040012200100,0,0,0,0,1,0
1708040013100100,0,0,0,0,1,0
1708050001000400,87,21,6,0,193,32
1708050001000500,57,17,89,1,97,4
1708050001000600,120,7,44,0,37,4
1708050001000700,98,3,84,1,24,0
1708050001000901,90,11,73,0,32,0
1708050009000101,37,0,16,0,148,0
1708050002000400,19,7,36,0,79,3
1708050001000801,57,11,3,0,60,5
1708050001000200,98,5,7,0,0,0
1708050019000100,110,0,0,0,0,0
1708050019000200,20,36,53,0,0,0
1708050005001000,59,5,35,0,2,0
1708050001000102,67,0,0,0,29,0
1708050001000902,72,2,0,0,13,6
1708050019000600,1,19,67,0,0,2
1708050002000300,21,6,57,0,0,2
1708050019001000,1,6,58,0,0,4
1708050002000100,0,0,30,0,25,10
1708050002000200,1,1,2,0,12,42
1708050019000800,2,3,44,0,0,2
1708050021000700,29,1,16,0,2,0
1708050005000300,271,10,3,0,275,1
1708050022000400,7,24,7,0,318,1
1708050003000101,7,17,4,0,221,0
1708050005000601,88,19,12,0,69,0
1708050005001100,52,22,16,0,54,0
1708050003000300,126,5,1,0,11,0
1708050018000300,54,10,0,0,74,2
1708050005000400,57,20,7,0,45,1
1708050003000200,125,0,0,0,0,0
1708050018000100,125,0,0,0,0,0
1708050022000100,119,5,1,0,0,0
1708050011000400,119,0,0,0,0,0
1708050003000102,35,5,13,0,59,0
1708050005000200,107,0,0,0,0,0
1708050023000300,0,1,0,0,105,0
1708050005000800,28,12,1,0,42,13
1708050018000200,32,10,11,0,33,0
1708050006000100,0,0,0,0,73,0
1708050006000200,2,5,0,0,61,0
1708050019000900,62,0,0,0,0,0
1708050011000100,273,2,0,0,217,0
1708050010000100,163,6,0,0,273,3
1708050009000200,175,4,0,0,69,0
1708050009001200,3,16,0,0,201,1
1708050011000301,113,0,6,0,65,3
1708050021001600,13,8,0,0,131,16
1708050015000100,0,18,3,0,120,10
1708050023000100,56,16,8,0,55,0
1708050011000302,48,9,5,0,69,2
1708050005001200,6,1,0,0,116,0
1708050023000200,91,0,0,0,21,0
