idsubsls,OPEN,DRAFT,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT,APPROVED BY Pengawas,REJECTED BY Pengawas
1708010005000900,66,8,6,0,63,0
1708060001000100,30,14,2,0,64,24
1708060001000200,67,38,0,0,3,22
1708010001000200,2,0,32,0,82,1
1708060001000300,114,0,0,0,0,0
1708010004000500,9,0,8,0,38,54
1708010002000100,80,0,1,0,14,0
1708010004000600,89,1,0,0,2,0
1708060002000200,12,61,0,0,11,7
1708010005000500,80,8,0,0,2,0
1708010002000300,85,0,1,0,0,0
1708060002000100,2,11,0,0,69,2
1708010007000300,70,2,0,0,6,2
1708010004000700,78,0,0,0,0,0
1708060016000100,55,23,0,0,0,0
1708010007000200,65,1,0,0,7,0
1708010005000600,63,1,0,0,3,1
1708060016000200,62,1,0,0,0,0
1708010001000100,34,0,12,0,16,0
1708010008000100,0,4,2,0,23,31
1708010005000700,13,27,0,0,7,12
1708010007000100,29,6,0,0,20,3
1708060016000400,52,3,0,0,0,0
1708010004000400,35,0,3,0,10,1
1708010005000800,2,0,1,0,29,17
1708060016000300,49,0,0,0,0,0
1708010006000300,48,0,0,0,0,0
1708010006000400,10,4,0,0,27,7
1708010005001000,1,2,0,0,34,3
1708010006000100,0,0,2,0,21,15
1708010006000600,38,0,0,0,0,0
1708010004000300,7,0,0,0,25,4
1708010006000700,16,1,12,0,2,5
1708010002000400,32,0,0,0,0,0
1708010006000200,0,0,0,0,22,9
1708010008000500,0,3,0,0,19,0
1708010004000900,17,0,0,0,0,0
1708010004000800,13,0,0,0,0,0
1708010008000300,8,0,0,0,4,0
1708010005001300,10,0,0,0,1,0
1708010007000500,9,1,0,0,0,0
1708010008000200,2,0,0,0,8,0
1708010007000600,6,0,0,0,2,0
1708010005001400,5,0,0,0,2,0
1708010008000400,0,0,0,0,7,0
1708010007000400,5,0,0,0,1,0
1708010007000800,1,1,0,0,2,0
1708010006000800,3,0,0,0,0,0
1708010008000600,0,0,0,0,3,0
1708010005001100,0,0,0,0,1,1
1708040004000100,26,17,10,0,148,32
1708040011000200,150,1,0,0,32,9
1708040003000100,23,26,27,0,52,27
1708020004000100,31,13,3,0,91,12
1708040001000300,144,0,0,0,0,0
1708040004000300,1,1,10,0,113,16
1708040004000400,132,1,2,0,0,2
1708040014000100,3,5,9,0,72,47
1708040011000300,2,44,0,0,18,63
1708040011000100,104,15,0,0,0,0
1708040003000200,102,0,0,0,0,0
1708040014000200,53,17,3,0,9,15
1708020013000200,67,21,0,0,2,0
1708040014000400,86,0,0,0,0,0
1708040014000500,82,0,0,0,0,0
1708040004000200,2,11,12,0,31,23
1708020013000100,69,3,0,0,5,1
1708020004000200,25,3,0,0,37,11
1708040003000300,69,2,0,0,0,0
1708020014000400,0,0,0,0,58,3
1708020005000200,60,0,0,0,0,0
1708020013000300,60,0,0,0,0,0
1708040001000200,52,1,7,0,0,0
1708020012000300,1,0,2,0,44,0
1708020013000400,46,0,0,0,0,0
