idsubsls,OPEN,DRAFT,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT,APPROVED BY Pengawas,REJECTED BY Pengawas
1708010005000900,66,8,0,0,69,0
1708060001000100,30,14,0,0,66,24
1708060001000200,67,38,0,0,3,22
1708010001000200,1,0,17,0,98,1
1708060001000300,114,0,0,0,0,0
1708010004000500,9,0,0,0,46,54
1708010002000100,80,0,0,0,15,0
1708010004000600,89,1,0,0,2,0
1708060002000200,12,59,4,0,11,6
1708010005000500,80,8,0,0,2,0
1708010002000300,85,0,0,0,1,0
1708060002000100,2,11,0,0,69,2
1708060016000100,43,35,6,0,0,0
1708010007000300,70,2,0,0,8,0
1708010004000700,78,0,0,0,0,0
1708010007000200,65,1,0,0,7,0
1708010005000600,63,1,0,0,3,1
1708010001000100,23,0,7,0,33,0
1708060016000200,60,3,0,0,0,0
1708010008000100,0,4,4,0,25,27
1708010005000700,13,27,0,0,7,12
1708010007000100,29,6,0,0,23,0
1708060016000400,52,3,0,0,0,0
1708010004000400,26,0,1,0,22,1
1708010005000800,2,0,0,0,30,17
1708060016000300,49,0,0,0,0,0
1708010006000300,47,1,0,0,0,0
1708010006000400,10,3,7,0,28,0
1708010005001000,1,2,0,0,34,3
1708010006000700,2,3,9,0,25,0
1708010006000100,0,0,2,0,24,12
1708010006000600,37,1,0,0,0,0
1708010004000300,7,0,0,0,25,4
1708010002000400,32,0,0,0,0,0
1708010006000200,0,0,1,0,22,8
1708010008000500,0,3,0,0,19,0
1708010004000900,17,0,0,0,0,0
1708010004000800,13,0,0,0,0,0
1708010008000300,8,0,0,0,4,0
1708010005001300,10,0,0,0,1,0
1708010007000500,9,1,0,0,0,0
1708010008000200,2,0,0,0,8,0
1708010007000600,6,0,0,0,2,0
1708010005001400,5,0,0,0,2,0
1708010008000400,0,0,0,0,7,0
1708010007000400,5,0,0,0,1,0
1708010007000800,1,1,0,0,2,0
1708010006000800,0,1,2,0,0,0
1708010008000600,0,0,0,0,3,0
1708010005001100,0,0,0,0,1,1
1708040004000100,17,15,4,0,176,29
1708040011000200,147,3,0,0,33,10
1708040003000100,18,23,4,0,69,42
1708020004000100,31,12,0,0,104,3
1708040001000300,142,0,2,0,0,0
1708040004000300,1,0,1,0,138,1
1708040004000400,132,1,1,0,1,2
1708040014000100,3,6,0,0,87,40
1708040011000300,2,45,0,0,20,63
1708040011000100,104,15,0,0,0,0
1708040003000200,86,1,1,0,14,0
1708040014000200,44,27,2,0,24,1
1708020013000200,56,8,20,0,8,0
1708040014000400,86,0,0,0,0,0
1708040014000500,82,0,0,0,0,0
1708040004000200,2,11,0,0,35,31
1708020004000200,23,3,0,0,41,11
1708020013000100,67,3,0,0,8,0
1708040003000300,69,2,0,0,0,0
1708040001000200,38,1,18,0,7,0
1708020014000400,0,0,0,0,58,3
1708020005000200,60,0,0,0,0,0
1708020013000300,60,0,0,0,0,0
1708020005000100,33,8,7,0,0,0
1708020012000300,0,0,0,0,47,0
1708020013000400,46,0,0,0,0,0
1708020004000300,7,3,0,0,35,0
1708040014000300,44,0,0,0,0,0
1708020004000400,11,2,0,0,28,1
1708040001000100,36,0,0,0,1,0
1708020004000500,6,0,0,0,30,0
1708020005000300,35,0,0,0,0,0
1708020005000400,8,0,0,0,0,0
1708040003200200,4,0,0,0,0,0
1708040014200200,0,0,0,0,4,0
1708040004100100,3,0,0,0,0,0
1708020004200100,0,0,0,0,1,0
1708040001100100,1,0,0,0,0,0
1708040001100200,1,0,0,0,0,0
1708040003100100,1,0,0,0,0,0
1708040004100200,1,0,0,0,0,0
1708040011100100,0,0,0,0,1,0
1708040014100100,0,0,0,0,1,0
1708030002000100,38,35,81,0,43,10
1708050001000300,31,31,72,0,58,0
1708030003000100,57,3,105,0,13,1
1708030009000100,6,38,11,0,72,16
1708030008000100,1,0,27,0,83,1
1708030001000400,6,0,27,0,54,0
1708030006000100,24,46,0,0,15,0
1708050001000101,85,0,0,0,0,0
1708030007000200,65,1,0,0,16,0
1708030006000200,53,0,0,0,16,1
1708030001000100,49,0,0,0,20,0
1708030007000400,10,37,11,0,10,0
1708030005000200,50,0,17,0,0,0
1708030007000300,67,0,0,0,0,0
1708030004000100,0,2,29,0,33,2
1708030007000100,61,0,0,0,3,0
1708050001000802,62,0,0,0,1,0
1708030008000300,41,6,1,0,13,0
1708030002000200,40,17,3,0,0,0
1708030012000300,4,0,54,0,2,0
1708030013000100,60,0,0,0,0,0
1708030001000300,6,0,0,0,52,0
1708030011000400,57,0,0,0,0,0
1708030001000200,7,0,0,0,48,0
1708030005000100,6,0,40,1,8,0
1708030008000200,7,3,38,0,5,0
1708030004000200,4,1,43,0,1,0
1708030013000300,43,2,2,0,0,0
1708030003000200,46,0,0,0,0,0
1708030012000400,0,0,37,0,9,0
1708030011000200,44,0,1,0,0,0
1708030011000100,43,0,0,0,0,0
1708030010000300,42,0,0,0,0,0
1708030001000500,4,0,0,0,33,4
1708030011000300,40,0,1,0,0,0
1708030004000300,4,1,24,0,11,0
1708030012000100,39,0,1,0,0,0
1708030012000200,7,0,31,0,2,0
1708030009000200,7,3,18,0,5,0
1708030010000100,31,0,0,0,0,0
1708030006000300,26,1,0,0,3,0
1708030013000200,18,0,0,0,0,0
1708030005000300,12,1,4,0,0,0
1708030010000400,15,0,0,0,0,0
1708030002000300,8,0,0,0,0,0
1708030003000300,8,0,0,0,0,0
1708030010000200,8,0,0,0,0,0
1708030009000300,3,0,0,0,2,0
