idsubsls,OPEN,DRAFT,SUBMITTED BY Pencacah,SUBMITTED RESPONDENT,APPROVED BY Pengawas,REJECTED BY Pengawas
1708010005000900,66,8,0,0,69,0
1708060001000200,19,22,48,0,48,0
1708060001000100,30,10,0,0,94,0
1708010001000200,1,0,0,0,115,1
1708060001000300,112,2,0,0,0,0
1708010004000500,8,0,10,0,52,40
1708010002000100,60,0,16,0,24,0
1708060002000200,6,14,6,0,67,1
1708010004000600,88,1,0,0,3,0
1708010005000500,69,7,1,0,13,0
1708060016000100,28,11,11,0,38,1
1708010002000300,85,0,0,0,1,0
1708060002000100,2,6,3,0,73,0
1708010007000300,28,13,10,0,32,0
1708010004000700,78,0,0,0,0,0
1708010007000200,65,1,0,0,7,0
1708010005000600,56,1,0,0,11,0
1708060016000200,59,6,0,0,1,0
1708010001000100,0,0,0,0,64,1
1708010008000100,0,4,22,0,29,5
1708010005000700,9,2,1,0,47,0
1708010007000100,24,7,0,0,27,0
1708060016000400,52,3,0,0,0,0
1708010006000300,31,2,6,0,14,0
1708010004000400,20,0,0,0,31,0
1708010005000800,2,0,0,0,47,0
1708060016000300,49,0,0,0,0,0
1708010006000400,9,2,0,0,37,0
1708010005001000,0,0,0,0,40,0
1708010006000700,2,1,0,0,37,0
1708010006000100,0,0,0,0,38,0
1708010006000600,32,3,0,0,3,0
1708010004000300,6,0,0,0,31,0
1708010002000400,32,0,0,0,0,0
1708010006000200,0,0,0,0,30,1
1708010008000500,0,3,0,0,19,0
1708010004000900,17,0,0,0,0,0
1708010004000800,13,0,0,0,0,0
1708010008000300,8,0,0,0,4,0
1708010005001300,5,1,1,0,4,0
1708010007000500,9,0,0,0,1,0
1708010008000200,2,0,0,0,8,0
1708010007000600,5,1,0,0,2,0
1708010005001400,5,0,0,0,2,0
1708010008000400,0,0,0,0,7,0
1708010007000400,5,0,0,0,1,0
1708010007000800,0,0,0,0,4,0
1708010006000800,0,1,0,0,2,0
1708010008000600,0,0,0,0,3,0
1708010005001100,0,0,0,0,2,0
1708040004000100,7,6,9,0,189,30
1708040011000200,147,1,1,0,33,11
1708040003000100,15,8,15,0,76,43
